lhin_name,lat,lon
Erie St. Clair,42.50,-82.20
South West,43.00,-81.20
Waterloo Wellington,43.50,-80.50
Hamilton Niagara Haldimand Brant,43.10,-79.20
Central West,43.70,-79.90
Mississauga Halton,43.50,-79.60
Toronto Central,43.65,-79.38
Central,44.00,-79.40
Central East,44.20,-78.80
South East,44.40,-76.50
Champlain,45.40,-75.70
North Simcoe Muskoka,44.50,-79.60
North East,47.00,-81.00
North West,49.00,-89.00
