1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
ID,provider,registration_location_code,data_year,Number of Physicians,female,male ,unk_sex,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70+,<25,age_unk,Canadian grads,Interntl grads,Grad location UNK,rural,urban,geo_unk
2019SpecialistsNorthwest Territories,Specialists,Northwest Territories,2019,7,1,6,0,,1,1,,1,,1,,3,,,,5,2,0,0,7,0
2019All physiciansNova Scotia,All physicians,Nova Scotia,2019,2624,1079,1545,0,92,234,312,306,297,308,324,317,232,200,,2,1909,712,3,480,2134,10
2019Family medicine physiciansNova Scotia,Family medicine physicians,Nova Scotia,2019,1295,597,698,0,88,76,128,137,147,155,178,163,101,120,,2,944,349,2,337,952,6
2019SpecialistsNova Scotia,Specialists,Nova Scotia,2019,1329,482,847,0,4,158,184,169,150,153,146,154,131,80,,,965,363,1,143,1182,4
2019All physiciansNunavut,All physicians,Nunavut,2019,21,9,12,0,1,6,3,,2,2,3,3,1,,,,17,4,0,21,0,0
2019Family medicine physiciansNunavut,Family medicine physicians,Nunavut,2019,17,6,11,0,1,4,3,,1,2,3,2,1,,,,13,4,0,17,0,0
2019SpecialistsNunavut,Specialists,Nunavut,2019,4,3,1,0,,2,,,1,,,1,,,,,4,0,0,4,0,0
2019All physiciansOntario,All physicians,Ontario,2019,34091,14100,19991,0,1312,4348,4416,3570,3876,3900,3602,3442,2733,2879,1,12,23934,10157,0,1447,32536,108
2019Family medicine physiciansOntario,Family medicine physicians,Ontario,2019,16863,7747,9116,0,1217,1668,2000,1907,1933,1991,1934,1673,1277,1258,1,4,11197,5666,0,1280,15527,56
2019SpecialistsOntario,Specialists,Ontario,2019,17228,6353,10875,0,95,2680,2416,1663,1943,1909,1668,1769,1456,1621,,8,12737,4491,0,167,17009,52
2019All physiciansPrince Edward Island,All physicians,Prince Edward Island,2019,323,107,216,0,8,26,31,34,32,33,32,41,28,31,,27,239,52,32,37,286,0
2019Family medicine physiciansPrince Edward Island,Family medicine physicians,Prince Edward Island,2019,176,68,108,0,8,10,16,21,15,21,13,20,15,17,,20,131,21,24,36,140,0
2019SpecialistsPrince Edward Island,Specialists,Prince Edward Island,2019,147,39,108,0,,16,15,13,17,12,19,21,13,14,,7,108,31,8,1,146,0
2019All physiciansQuebec,All physicians,Quebec,2019,21485,10875,10610,0,811,2639,2695,2222,2099,2117,2490,2321,1663,1519,1,908,18702,1850,933,1925,19560,0
2019Family medicine physiciansQuebec,Family medicine physicians,Quebec,2019,10786,6106,4680,0,721,1223,1058,930,920,981,1311,1236,936,648,1,821,9131,806,849,1660,9126,0
2019SpecialistsQuebec,Specialists,Quebec,2019,10699,4769,5930,0,90,1416,1637,1292,1179,1136,1179,1085,727,871,,87,9571,1044,84,265,10434,0
2019All physiciansSaskatchewan,All physicians,Saskatchewan,2019,2484,915,1569,0,100,273,332,337,307,278,279,216,156,205,,1,1223,1261,0,276,2206,2
2019Family medicine physiciansSaskatchewan,Family medicine physicians,Saskatchewan,2019,1363,531,832,0,98,105,177,186,171,159,144,104,88,130,,1,527,836,0,272,1089,2
2019SpecialistsSaskatchewan,Specialists,Saskatchewan,2019,1121,384,737,0,2,168,155,151,136,119,135,112,68,75,,,696,425,0,4,1117,0
2019All physiciansYukon,All physicians,Yukon,2019,79,40,39,0,1,11,11,10,8,9,8,7,6,8,,,63,16,0,7,72,0
2019Family medicine physiciansYukon,Family medicine physicians,Yukon,2019,67,33,34,0,1,10,9,9,5,8,7,7,6,5,,,52,15,0,7,60,0
2019SpecialistsYukon,Specialists,Yukon,2019,12,7,5,0,,1,2,1,3,1,1,,,3,,,11,1,0,0,12,0
2020All physiciansAlberta,All physicians,Alberta,2020,11197,4531,6665,1,382,1420,1658,1609,1411,1332,1120,981,738,530,,16,7354,3833,10,770,10406,21
2020Family medicine physiciansAlberta,Family medicine physicians,Alberta,2020,5496,2474,3021,1,355,572,749,782,691,671,560,496,352,256,,12,3150,2338,8,701,4784,11
2020SpecialistsAlberta,Specialists,Alberta,2020,5701,2057,3644,0,27,848,909,827,720,661,560,485,386,274,,4,4204,1495,2,69,5622,10
2020All physiciansBritish Columbia,All physicians,British Columbia,2020,13073,5352,7721,0,483,1607,1883,1542,1438,1413,1526,1378,962,839,,2,9061,4012,0,692,12354,27
2020Family medicine physiciansBritish Columbia,Family medicine physicians,British Columbia,2020,6884,3101,3783,0,452,701,853,796,716,726,928,761,508,441,,2,4436,2448,0,637,6232,15
2020SpecialistsBritish Columbia,Specialists,British Columbia,2020,6189,2251,3938,0,31,906,1030,746,722,687,598,617,454,398,,,4625,1564,0,55,6122,12
2020All physiciansCanada,All physicians,Canada,2020,92173,40305,51867,1,,,,,,,,,,,,,66956,23736,1481,6679,85302,192
2020Family medicine physiciansCanada,Family medicine physicians,Canada,2020,46797,22680,24116,1,,,,,,,,,,,,,31753,13720,1324,5789,40904,104
2020SpecialistsCanada,Specialists,Canada,2020,45376,17625,27751,0,,,,,,,,,,,,,35203,10016,157,890,44398,88
2020All physiciansManitoba,All physicians,Manitoba,2020,2987,1135,1852,0,143,370,398,349,343,364,300,318,208,190,,4,2041,945,1,328,2646,13
2020Family medicine physiciansManitoba,Family medicine physicians,Manitoba,2020,1494,616,878,0,133,157,165,170,152,200,172,168,105,70,,2,857,637,0,284,1203,7
2020SpecialistsManitoba,Specialists,Manitoba,2020,1493,519,974,0,10,213,233,179,191,164,128,150,103,120,,2,1184,308,1,44,1443,6
2020All physiciansNew Brunswick,All physicians,New Brunswick,2020,1949,814,1135,0,71,188,237,205,267,242,237,201,128,170,,3,1465,483,1,307,1634,8
2020Family medicine physiciansNew Brunswick,Family medicine physicians,New Brunswick,2020,1072,530,542,0,71,108,125,105,120,106,126,129,72,109,,1,876,196,0,283,785,4
2020SpecialistsNew Brunswick,Specialists,New Brunswick,2020,877,284,593,0,,80,112,100,147,136,111,72,56,61,,2,589,287,1,24,849,4
2020All physiciansNewfoundland and Labrador,All physicians,Newfoundland and Labrador,2020,1361,568,793,0,44,140,195,195,172,168,133,142,93,77,,2,907,454,0,327,1030,4
2020Family medicine physiciansNewfoundland and Labrador,Family medicine physicians,Newfoundland and Labrador,2020,684,301,383,0,44,60,90,86,108,88,56,63,51,37,,1,442,242,0,242,440,2
2020SpecialistsNewfoundland and Labrador,Specialists,Newfoundland and Labrador,2020,677,267,410,0,,80,105,109,64,80,77,79,42,40,,1,465,212,0,85,590,2
2020All physiciansNorthwest Territories,All physicians,Northwest Territories,2020,52,31,21,0,3,6,8,6,7,5,6,2,6,3,,,40,12,0,11,41,0
2020Family medicine physiciansNorthwest Territories,Family medicine physicians,Northwest Territories,2020,40,26,14,0,2,4,6,6,5,4,5,2,3,3,,,32,8,0,11,29,0
2020SpecialistsNorthwest Territories,Specialists,Northwest Territories,2020,12,5,7,0,1,2,2,,2,1,1,,3,,,,8,4,0,0,12,0
2020All physiciansNova Scotia,All physicians,Nova Scotia,2020,2719,1126,1593,0,103,265,319,322,313,308,329,310,233,207,,10,1930,784,5,487,2212,20
2020Family medicine physiciansNova Scotia,Family medicine physicians,Nova Scotia,2020,1365,632,733,0,100,102,141,144,157,146,187,161,105,114,,8,951,410,4,336,1021,8
2020SpecialistsNova Scotia,Specialists,Nova Scotia,2020,1354,494,860,0,3,163,178,178,156,162,142,149,128,93,,2,979,374,1,151,1191,12
2020All physiciansNunavut,All physicians,Nunavut,2020,25,11,14,0,3,6,6,,1,2,4,3,,,,,21,4,0,25,0,0
2020Family medicine physiciansNunavut,Family medicine physicians,Nunavut,2020,21,8,13,0,3,4,6,,1,1,4,2,,,,,17,4,0,21,0,0
2020SpecialistsNunavut,Specialists,Nunavut,2020,4,3,1,0,,2,,,,1,,1,,,,,4,0,0,4,0,0
2020All physiciansOntario,All physicians,Ontario,2020,33830,14291,19539,0,1193,4370,4509,3665,3801,3916,3703,3289,2784,2589,,11,23743,10085,2,1449,32285,96
2020Family medicine physiciansOntario,Family medicine physicians,Ontario,2020,16990,7944,9046,0,1116,1999,2027,1897,1936,1946,1984,1644,1284,1150,,7,11241,5748,1,1277,15659,54
2020SpecialistsOntario,Specialists,Ontario,2020,16840,6347,10493,0,77,2371,2482,1768,1865,1970,1719,1645,1500,1439,,4,12502,4337,1,172,16626,42
2020All physiciansPrince Edward Island,All physicians,Prince Edward Island,2020,322,107,215,0,8,28,41,28,33,33,31,28,29,24,,39,226,52,44,35,287,0
2020Family medicine physiciansPrince Edward Island,Family medicine physicians,Prince Edward Island,2020,175,65,110,0,7,12,19,17,19,19,17,12,15,14,,24,126,20,29,34,141,0
2020SpecialistsPrince Edward Island,Specialists,Prince Edward Island,2020,147,42,105,0,1,16,22,11,14,14,14,16,14,10,,15,100,32,15,1,146,0
2020All physiciansQuebec,All physicians,Quebec,2020,22038,11321,10717,0,378,2848,2840,2295,2134,2051,2467,2271,1753,1605,,1396,18811,1813,1414,1965,20073,0
2020Family medicine physiciansQuebec,Family medicine physicians,Quebec,2020,11098,6379,4719,0,331,1463,1087,942,917,937,1282,1200,976,710,,1253,9029,791,1278,1684,9414,0
2020SpecialistsQuebec,Specialists,Quebec,2020,10940,4942,5998,0,47,1385,1753,1353,1217,1114,1185,1071,777,895,,143,9782,1022,136,281,10659,0
2020All physiciansSaskatchewan,All physicians,Saskatchewan,2020,2535,973,1562,0,115,319,325,367,319,279,289,215,137,165,,5,1288,1243,4,274,2258,3
2020Family medicine physiciansSaskatchewan,Family medicine physicians,Saskatchewan,2020,1407,568,839,0,103,127,148,214,189,151,169,124,80,97,,5,540,863,4,270,1134,3
2020SpecialistsSaskatchewan,Specialists,Saskatchewan,2020,1128,405,723,0,12,192,177,153,130,128,120,91,57,68,,,748,380,0,4,1124,0
2020All physiciansYukon,All physicians,Yukon,2020,85,45,40,0,1,12,15,10,8,9,7,8,6,9,,,69,16,0,9,76,0
2020Family medicine physiciansYukon,Family medicine physicians,Yukon,2020,71,36,35,0,1,10,12,9,6,7,7,7,6,6,,,56,15,0,9,62,0
2020SpecialistsYukon,Specialists,Yukon,2020,14,9,5,0,,2,3,1,2,2,,1,,3,,,13,1,0,0,14,0
2021All physiciansAlberta,All physicians,Alberta,2021,11085,4550,6535,0,330,1448,1596,1600,1443,1355,1135,935,719,520,,4,7277,3806,2,779,10284,22
2021Family medicine physiciansAlberta,Family medicine physicians,Alberta,2021,5423,2468,2955,0,318,608,710,757,707,672,584,463,358,245,,1,3098,2324,1,697,4718,8
2021SpecialistsAlberta,Specialists,Alberta,2021,5662,2082,3580,0,12,840,886,843,736,683,551,472,361,275,,3,4179,1482,1,82,5566,14
2021All physiciansBritish Columbia,All physicians,British Columbia,2021,13540,5643,7897,0,483,1764,1890,1683,1480,1379,1520,1410,1032,896,,3,9381,4158,1,718,12801,21
2021Family medicine physiciansBritish Columbia,Family medicine physicians,British Columbia,2021,7118,3244,3874,0,447,847,804,856,746,697,901,806,537,475,,2,4555,2563,0,652,6455,11
2021SpecialistsBritish Columbia,Specialists,British Columbia,2021,6422,2399,4023,0,36,917,1086,827,734,682,619,604,495,421,,1,4826,1595,1,66,6346,10
2021All physiciansCanada,All physicians,Canada,2021,94119,41755,52364,0,,,,,,,,,,,,,67806,24226,2087,6790,87134,195
2021Family medicine physiciansCanada,Family medicine physicians,Canada,2021,47449,23298,24151,0,,,,,,,,,,,,,31705,13946,1798,5880,41467,102
2021SpecialistsCanada,Specialists,Canada,2021,46670,18457,28213,0,,,,,,,,,,,,,36101,10280,289,910,45667,93
2021All physiciansManitoba,All physicians,Manitoba,2021,2996,1141,1855,0,108,398,398,371,348,348,298,301,225,196,,5,2044,951,1,337,2648,11
2021Family medicine physiciansManitoba,Family medicine physicians,Manitoba,2021,1505,609,896,0,105,173,163,179,156,192,170,161,119,83,,4,850,654,1,296,1203,6
2021SpecialistsManitoba,Specialists,Manitoba,2021,1491,532,959,0,3,225,235,192,192,156,128,140,106,113,,1,1194,297,0,41,1445,5
2021All physiciansNew Brunswick,All physicians,New Brunswick,2021,2022,853,1169,0,75,218,235,206,258,247,251,204,144,182,,2,1502,518,2,314,1706,2
2021Family medicine physiciansNew Brunswick,Family medicine physicians,New Brunswick,2021,1103,556,547,0,75,124,122,108,114,111,121,126,85,116,,1,897,205,1,291,810,2
2021SpecialistsNew Brunswick,Specialists,New Brunswick,2021,919,297,622,0,,94,113,98,144,136,130,78,59,66,,1,605,313,1,23,896,0
2021All physiciansNewfoundland and Labrador,All physicians,Newfoundland and Labrador,2021,1378,576,802,0,41,131,199,197,166,177,132,146,97,90,,2,931,447,0,327,1045,6
2021Family medicine physiciansNewfoundland and Labrador,Family medicine physicians,Newfoundland and Labrador,2021,695,309,386,0,41,61,89,88,98,100,61,61,46,49,,1,455,240,0,242,449,4
2021SpecialistsNewfoundland and Labrador,Specialists,Newfoundland and Labrador,2021,683,267,416,0,,70,110,109,68,77,71,85,51,41,,1,476,207,0,85,596,2
2021All physiciansNorthwest Territories,All physicians,Northwest Territories,2021,53,33,20,0,1,10,7,5,6,7,6,2,6,3,,,41,12,0,12,41,0
2021Family medicine physiciansNorthwest Territories,Family medicine physicians,Northwest Territories,2021,42,29,13,0,1,8,5,5,5,5,5,2,3,3,,,34,8,0,12,30,0
2021SpecialistsNorthwest Territories,Specialists,Northwest Territories,2021,11,4,7,0,,2,2,,1,2,1,,3,,,,7,4,0,0,11,0
2021All physiciansNova Scotia,All physicians,Nova Scotia,2021,2736,1157,1579,0,106,305,330,318,326,289,316,305,215,224,,2,1926,810,0,482,2236,18
2021Family medicine physiciansNova Scotia,Family medicine physicians,Nova Scotia,2021,1374,646,728,0,105,124,141,152,162,134,177,158,97,122,,2,930,444,0,335,1028,11
2021SpecialistsNova Scotia,Specialists,Nova Scotia,2021,1362,511,851,0,1,181,189,166,164,155,139,147,118,102,,,996,366,0,147,1208,7
2021All physiciansNunavut,All physicians,Nunavut,2021,22,11,11,0,3,2,7,,,3,4,1,2,,,,18,4,0,22,0,0
2021Family medicine physiciansNunavut,Family medicine physicians,Nunavut,2021,18,8,10,0,3,,7,,,2,4,1,1,,,,14,4,0,18,0,0
2021SpecialistsNunavut,Specialists,Nunavut,2021,4,3,1,0,,2,,,,1,,,1,,,,4,0,0,4,0,0
2021All physiciansOntario,All physicians,Ontario,2021,34860,14950,19910,0,1171,4827,4671,3933,3654,3918,3783,3260,2838,2791,,14,24401,10457,2,1499,33255,106
2021Family medicine physiciansOntario,Family medicine physicians,Ontario,2021,17220,8152,9068,0,1085,2053,2048,1975,1910,1931,2016,1655,1272,1268,,7,11322,5897,1,1322,15844,54
2021SpecialistsOntario,Specialists,Ontario,2021,17640,6798,10842,0,86,2774,2623,1958,1744,1987,1767,1605,1566,1523,,7,13079,4560,1,177,17411,52
2021All physiciansPrince Edward Island,All physicians,Prince Edward Island,2021,344,120,224,0,3,44,42,35,34,27,36,31,26,26,,40,241,59,44,33,308,3
2021Family medicine physiciansPrince Edward Island,Family medicine physicians,Prince Edward Island,2021,186,75,111,0,3,23,16,20,21,15,23,12,12,15,,26,131,25,30,33,151,2
2021SpecialistsPrince Edward Island,Specialists,Prince Edward Island,2021,158,45,113,0,,21,26,15,13,12,13,19,14,11,,14,110,34,14,0,157,1
2021All physiciansQuebec,All physicians,Quebec,2021,22451,11682,10769,0,109,2814,2900,2356,2174,2044,2326,2236,1781,1693,,2018,18649,1767,2035,1994,20452,5
2021Family medicine physiciansQuebec,Family medicine physicians,Quebec,2021,11334,6601,4733,0,89,1462,1125,950,910,946,1190,1188,974,759,,1741,8813,757,1764,1713,9618,3
2021SpecialistsQuebec,Specialists,Quebec,2021,11117,5081,6036,0,20,1352,1775,1406,1264,1098,1136,1048,807,934,,277,9836,1010,271,281,10834,2
2021All physiciansSaskatchewan,All physicians,Saskatchewan,2021,2547,994,1553,0,77,332,343,355,329,289,263,236,147,171,,5,1326,1221,0,264,2282,1
2021Family medicine physiciansSaskatchewan,Family medicine physicians,Saskatchewan,2021,1360,565,795,0,73,140,142,211,196,162,132,130,66,105,,3,550,810,0,260,1099,1
2021SpecialistsSaskatchewan,Specialists,Saskatchewan,2021,1187,429,758,0,4,192,201,144,133,127,131,106,81,66,,2,776,411,0,4,1183,0
2021All physiciansYukon,All physicians,Yukon,2021,85,45,40,0,,10,16,12,6,8,9,8,7,9,,,69,16,0,9,76,0
2021Family medicine physiciansYukon,Family medicine physicians,Yukon,2021,71,36,35,0,,9,12,11,4,7,8,7,7,6,,,56,15,0,9,62,0
2021SpecialistsYukon,Specialists,Yukon,2021,14,9,5,0,,1,4,1,2,1,1,1,,3,,,13,1,0,0,14,0
2022All physiciansAlberta,All physicians,Alberta,2022,11078,4576,6502,0,241,1376,1628,1625,1474,1372,1127,912,761,558,,4,7238,3839,1,749,10305,24
2022Family medicine physiciansAlberta,Family medicine physicians,Alberta,2022,5417,2469,2948,0,232,614,711,756,739,676,593,452,381,262,,1,3064,2353,0,678,4727,12
2022SpecialistsAlberta,Specialists,Alberta,2022,5661,2107,3554,0,9,762,917,869,735,696,534,460,380,296,,3,4174,1486,1,71,5578,12
2022All physiciansBritish Columbia,All physicians,British Columbia,2022,14353,6089,8264,0,515,1962,1995,1830,1501,1416,1502,1471,1134,1023,,4,9857,4495,1,737,13597,19
2022Family medicine physiciansBritish Columbia,Family medicine physicians,British Columbia,2022,7523,3481,4042,0,480,987,789,931,758,714,862,852,612,536,,2,4750,2773,0,667,6848,8
2022SpecialistsBritish Columbia,Specialists,British Columbia,2022,6830,2608,4222,0,35,975,1206,899,743,702,640,619,522,487,,2,5107,1722,1,70,6749,11
2022All physiciansCanada,All physicians,Canada,2022,96020,43216,52803,1,,,,,,,,,,,,,68293,24999,2728,6855,88965,200
2022Family medicine physiciansCanada,Family medicine physicians,Canada,2022,48292,24019,24272,1,,,,,,,,,,,,,31733,14334,2225,5963,42229,100
2022SpecialistsCanada,Specialists,Canada,2022,47728,19197,28531,0,,,,,,,,,,,,,36560,10665,503,892,46736,100
2022All physiciansManitoba,All physicians,Manitoba,2022,3031,1192,1839,0,121,406,403,404,352,340,310,289,215,189,,2,2045,985,1,355,2666,10
2022Family medicine physiciansManitoba,Family medicine physicians,Manitoba,2022,1570,655,915,0,120,198,175,199,157,178,186,151,115,89,,2,879,690,1,318,1248,4
2022SpecialistsManitoba,Specialists,Manitoba,2022,1461,537,924,0,1,208,228,205,195,162,124,138,100,100,,,1166,295,0,37,1418,6
2022All physiciansNew Brunswick,All physicians,New Brunswick,2022,2163,923,1240,0,87,237,267,216,277,269,249,212,153,193,,3,1593,567,3,333,1828,2
2022Family medicine physiciansNew Brunswick,Family medicine physicians,New Brunswick,2022,1124,573,551,0,87,135,111,109,123,119,115,118,85,121,,1,908,215,1,304,818,2
2022SpecialistsNew Brunswick,Specialists,New Brunswick,2022,1039,350,689,0,,102,156,107,154,150,134,94,68,72,,2,685,352,2,29,1010,0
2022All physiciansNewfoundland and Labrador,All physicians,Newfoundland and Labrador,2022,1415,614,801,0,49,149,197,195,158,170,134,143,112,106,,2,1003,412,0,294,1114,7
2022Family medicine physiciansNewfoundland and Labrador,Family medicine physicians,Newfoundland and Labrador,2022,702,334,368,0,48,65,81,91,84,90,61,64,52,65,,1,488,214,0,217,481,4
2022SpecialistsNewfoundland and Labrador,Specialists,Newfoundland and Labrador,2022,713,280,433,0,1,84,116,104,74,80,73,79,60,41,,1,515,198,0,77,633,3
2022All physiciansNorthwest Territories,All physicians,Northwest Territories,2022,57,36,21,0,,9,8,8,4,7,7,4,5,5,,,44,13,0,13,44,0
2022Family medicine physiciansNorthwest Territories,Family medicine physicians,Northwest Territories,2022,45,31,14,0,,7,7,6,3,5,7,3,2,5,,,36,9,0,13,32,0
2022SpecialistsNorthwest Territories,Specialists,Northwest Territories,2022,12,5,7,0,,2,1,2,1,2,,1,3,,,,8,4,0,0,12,0
2022All physiciansNova Scotia,All physicians,Nova Scotia,2022,2758,1203,1554,1,110,310,332,327,345,290,303,302,219,214,,6,1963,789,6,483,2247,28
2022Family medicine physiciansNova Scotia,Family medicine physicians,Nova Scotia,2022,1346,654,691,1,106,132,129,138,169,134,164,156,101,114,,3,936,407,3,336,995,15
2022SpecialistsNova Scotia,Specialists,Nova Scotia,2022,1412,549,863,0,4,178,203,189,176,156,139,146,118,100,,3,1027,382,3,147,1252,13
2022All physiciansNunavut,All physicians,Nunavut,2022,29,15,14,0,2,6,7,1,1,1,4,4,2,,,1,22,6,1,29,0,0
2022Family medicine physiciansNunavut,Family medicine physicians,Nunavut,2022,25,12,13,0,2,4,6,1,1,1,4,4,1,,,1,18,6,1,25,0,0
2022SpecialistsNunavut,Specialists,Nunavut,2022,4,3,1,0,,2,1,,,,,,1,,,,4,0,0,4,0,0
2022All physiciansOntario,All physicians,Ontario,2022,35320,15312,20008,0,1064,4895,4849,4326,3498,3989,3760,3255,2836,2828,,20,24486,10824,10,1463,33756,101
2022Family medicine physiciansOntario,Family medicine physicians,Ontario,2022,17416,8323,9093,0,1001,2267,2006,2034,1890,1984,1967,1703,1293,1263,,8,11361,6053,2,1297,16070,49
2022SpecialistsOntario,Specialists,Ontario,2022,17904,6989,10915,0,63,2628,2843,2292,1608,2005,1793,1552,1543,1565,,12,13125,4771,8,166,17686,52
2022All physiciansPrince Edward Island,All physicians,Prince Edward Island,2022,356,133,223,0,8,36,38,42,31,33,37,32,25,26,,48,246,57,53,38,315,3
2022Family medicine physiciansPrince Edward Island,Family medicine physicians,Prince Edward Island,2022,195,82,113,0,6,18,16,19,16,21,27,14,11,14,,33,131,26,38,38,155,2
2022SpecialistsPrince Edward Island,Specialists,Prince Edward Island,2022,161,51,110,0,2,18,22,23,15,12,10,18,14,12,,15,115,31,15,0,160,1
2022All physiciansQuebec,All physicians,Quebec,2022,22765,12022,10743,0,105,2446,2963,2447,2184,2025,2184,2244,1749,1777,,2641,18402,1712,2651,2055,20708,2
2022Family medicine physiciansQuebec,Family medicine physicians,Quebec,2022,11449,6761,4688,0,63,1241,1170,994,900,922,1068,1172,949,811,,2159,8541,729,2179,1768,9680,1
2022SpecialistsQuebec,Specialists,Quebec,2022,11316,5261,6055,0,42,1205,1793,1453,1284,1103,1116,1072,800,966,,482,9861,983,472,287,11028,1
2022All physiciansSaskatchewan,All physicians,Saskatchewan,2022,2606,1055,1551,0,96,335,339,382,348,315,247,238,147,157,,2,1320,1285,1,296,2306,4
2022Family medicine physiciansSaskatchewan,Family medicine physicians,Saskatchewan,2022,1406,607,799,0,92,158,135,221,204,178,125,133,70,89,,1,561,845,0,292,1111,3
2022SpecialistsSaskatchewan,Specialists,Saskatchewan,2022,1200,448,752,0,4,177,204,161,144,137,122,105,77,68,,1,759,440,1,4,1195,1
2022All physiciansYukon,All physicians,Yukon,2022,89,46,43,0,1,10,18,11,7,8,8,9,6,11,,,74,15,0,10,79,0
2022Family medicine physiciansYukon,Family medicine physicians,Yukon,2022,74,37,37,0,1,9,15,8,6,6,7,8,6,8,,,60,14,0,10,64,0
2022SpecialistsYukon,Specialists,Yukon,2022,15,9,6,0,,1,3,3,1,2,1,1,,3,,,14,1,0,0,15,0
2023All physiciansAlberta,All physicians,Alberta,2023,11275,4739,6536,0,318,1423,1640,1661,1514,1387,1109,927,715,578,,3,7348,3926,1,769,10465,41
2023Family medicine physiciansAlberta,Family medicine physicians,Alberta,2023,5452,2535,2917,0,286,656,680,765,753,675,575,444,352,265,,1,3076,2375,1,702,4724,26
2023SpecialistsAlberta,Specialists,Alberta,2023,5823,2204,3619,0,32,767,960,896,761,712,534,483,363,313,,2,4272,1551,0,67,5741,15
2023All physiciansBritish Columbia,All physicians,British Columbia,2023,15023,6471,8552,0,553,2214,2015,1934,1594,1445,1503,1454,1188,1120,,3,10341,4682,0,755,14247,21
2023Family medicine physiciansBritish Columbia,Family medicine physicians,British Columbia,2023,7615,3594,4021,0,508,1077,750,933,799,726,823,840,612,544,,3,4835,2780,0,686,6920,9
2023SpecialistsBritish Columbia,Specialists,British Columbia,2023,7408,2877,4531,0,45,1137,1265,1001,795,719,680,614,576,576,,,5506,1902,0,69,7327,12
2023All physiciansCanada,All physicians,Canada,2023,97384,44308,53076,0,,,,,,,,,,,,,68557,25422,3405,6908,90287,189
2023Family medicine physiciansCanada,Family medicine physicians,Canada,2023,48264,24326,23938,0,,,,,,,,,,,,,31464,14199,2601,5995,42173,96
2023SpecialistsCanada,Specialists,Canada,2023,49120,19982,29138,0,,,,,,,,,,,,,37093,11223,804,913,48114,93
2023All physiciansManitoba,All physicians,Manitoba,2023,3187,1265,1922,0,137,453,432,418,359,349,329,290,217,199,,4,2149,1036,2,355,2824,8
2023Family medicine physiciansManitoba,Family medicine physicians,Manitoba,2023,1562,667,895,0,121,222,175,184,164,160,179,157,104,93,,3,912,648,2,311,1249,2
2023SpecialistsManitoba,Specialists,Manitoba,2023,1625,598,1027,0,16,231,257,234,195,189,150,133,113,106,,1,1237,388,0,44,1575,6
2023All physiciansNew Brunswick,All physicians,New Brunswick,2023,2214,951,1263,0,74,253,262,221,270,270,259,213,169,220,,3,1637,577,0,337,1876,1
2023Family medicine physiciansNew Brunswick,Family medicine physicians,New Brunswick,2023,1181,606,575,0,74,150,115,122,125,121,125,109,100,139,,1,948,233,0,309,872,0
2023SpecialistsNew Brunswick,Specialists,New Brunswick,2023,1033,345,688,0,,103,147,99,145,149,134,104,69,81,,2,689,344,0,28,1004,1
2023All physiciansNewfoundland and Labrador,All physicians,Newfoundland and Labrador,2023,1399,613,786,0,33,167,187,197,167,172,145,121,103,104,,3,985,413,1,286,1111,2
2023Family medicine physiciansNewfoundland and Labrador,Family medicine physicians,Newfoundland and Labrador,2023,666,319,347,0,33,88,67,85,78,92,66,50,42,63,,2,466,199,1,203,462,1
2023SpecialistsNewfoundland and Labrador,Specialists,Newfoundland and Labrador,2023,733,294,439,0,,79,120,112,89,80,79,71,61,41,,1,519,214,0,83,649,1
2023All physiciansNorthwest Territories,All physicians,Northwest Territories,2023,59,38,21,0,1,9,7,8,5,7,6,5,4,7,,,46,13,0,14,45,0
2023Family medicine physiciansNorthwest Territories,Family medicine physicians,Northwest Territories,2023,46,32,14,0,1,7,5,6,4,5,6,4,2,6,,,37,9,0,14,32,0
2023SpecialistsNorthwest Territories,Specialists,Northwest Territories,2023,13,6,7,0,,2,2,2,1,2,,1,2,1,,,9,4,0,0,13,0
2023All physiciansNova Scotia,All physicians,Nova Scotia,2023,2759,1227,1532,0,102,351,346,351,339,276,301,286,210,192,,5,1958,798,3,492,2247,20
2023Family medicine physiciansNova Scotia,Family medicine physicians,Nova Scotia,2023,1279,646,633,0,99,155,117,138,144,131,159,136,100,95,,5,907,369,3,331,937,11
2023SpecialistsNova Scotia,Specialists,Nova Scotia,2023,1480,581,899,0,3,196,229,213,195,145,142,150,110,97,,,1051,429,0,161,1310,9
2023All physiciansNunavut,All physicians,Nunavut,2023,29,15,14,0,,7,7,2,,2,3,4,3,,,1,22,6,1,29,0,0
2023Family medicine physiciansNunavut,Family medicine physicians,Nunavut,2023,25,12,13,0,,5,6,2,,2,3,4,2,,,1,18,6,1,25,0,0
2023SpecialistsNunavut,Specialists,Nunavut,2023,4,3,1,0,,2,1,,,,,,1,,,,4,0,0,4,0,0
2023All physiciansOntario,All physicians,Ontario,2023,35215,15395,19820,0,948,4964,4887,4440,3519,3947,3705,3223,2691,2878,,13,24284,10923,8,1441,33684,90
2023Family medicine physiciansOntario,Family medicine physicians,Ontario,2023,17178,8276,8902,0,900,2441,1896,2045,1870,1924,1878,1727,1213,1277,,7,11202,5973,3,1275,15859,44
2023SpecialistsOntario,Specialists,Ontario,2023,18037,7119,10918,0,48,2523,2991,2395,1649,2023,1827,1496,1478,1601,,6,13082,4950,5,166,17825,46
