lhin,specialty,physicians_count,population,physicians_per_100k,latitude,longitude
North East,Critical Care Medicine,10.9,550000,1.99,46.49,-80.99
North East,Dermatology,8.6,550000,1.57,46.49,-80.99
North East,Diagnostic and Interventional Radiology,34.7,550000,6.31,46.49,-80.99
North East,Emergency Medicine,61.9,550000,11.25,46.49,-80.99
North East,Endocrinology,10.5,550000,1.92,46.49,-80.99
North East,Gastroenterology,13.1,550000,2.38,46.49,-80.99
North East,General Internal Medicine,33.1,550000,6.03,46.49,-80.99
North East,General Surgery,26.9,550000,4.9,46.49,-80.99
North East,General Thoracic Surgery,19.9,550000,3.62,46.49,-80.99
North East,Genetics Medicine,2.0,550000,0.37,46.49,-80.99
North East,Geriatric Medicine,5.2,550000,0.94,46.49,-80.99
North East,Hematology and Medical Oncology,16.9,550000,3.07,46.49,-80.99
North East,Hospital Medicine,14.1,550000,2.56,46.49,-80.99
North East,Infectious Diseases,6.5,550000,1.18,46.49,-80.99
North East,Laboratory Medicine,22.0,550000,4.01,46.49,-80.99
North East,Long-term Care,3.5,550000,0.64,46.49,-80.99
North East,Nephrology,9.8,550000,1.79,46.49,-80.99
North East,Neurology,16.7,550000,3.04,46.49,-80.99
North East,Neuroradiology,3.2,550000,0.58,46.49,-80.99
North East,Neurosurgery,3.1,550000,0.56,46.49,-80.99
North East,Nuclear Medicine,2.3,550000,0.42,46.49,-80.99
North East,Obstetrics and Gynecology,30.1,550000,5.46,46.49,-80.99
North East,Occupational and Environmental Medicine,2.8,550000,0.5,46.49,-80.99
North East,Ophthalmology,16.0,550000,2.92,46.49,-80.99
North East,Orthopedic Surgery,24.1,550000,4.38,46.49,-80.99
North East,Otolaryngology,10.5,550000,1.9,46.49,-80.99
North East,Palliative Medicine,9.5,550000,1.73,46.49,-80.99
North East,Pediatrics,52.5,550000,9.54,46.49,-80.99
North East,Physical Medicine and Rehabilitation,8.6,550000,1.57,46.49,-80.99
North East,Plastic Surgery,8.6,550000,1.57,46.49,-80.99
North East,Primary Care Mental Health,7.5,550000,1.36,46.49,-80.99
North East,Psychiatry,78.2,550000,14.22,46.49,-80.99
North East,Public Health Physicians,5.0,550000,0.9,46.49,-80.99
North East,Radiation Oncology,7.9,550000,1.44,46.49,-80.99
North East,Reproductive Biology,2.3,550000,0.42,46.49,-80.99
North East,Respiratory Disease (Respirology),11.3,550000,2.06,46.49,-80.99
North East,Rheumatology,9.0,550000,1.64,46.49,-80.99
North East,Sport and Exercise Medicine,6.2,550000,1.12,46.49,-80.99
North East,Urology,10.0,550000,1.82,46.49,-80.99
North East,Vascular Surgery,3.6,550000,0.65,46.49,-80.99
North West,Family Medicine,61.9,75000,82.53,48.38,-89.25
North West,Addiction Medicine,0.9,75000,1.24,48.38,-89.25
North West,Allergy and Clinical Immunology,0.7,75000,0.98,48.38,-89.25
North West,Anesthesia,7.9,75000,10.59,48.38,-89.25
North West,Cardiac Surgery,0.4,75000,0.5,48.38,-89.25
North West,Cardiology,3.1,75000,4.11,48.38,-89.25
North West,Chronic Pain,1.5,75000,2.0,48.38,-89.25
North West,Critical Care Medicine,1.5,75000,1.99,48.38,-89.25
North West,Dermatology,1.2,75000,1.57,48.38,-89.25
North West,Diagnostic and Interventional Radiology,4.7,75000,6.31,48.38,-89.25
North West,Emergency Medicine,8.4,75000,11.25,48.38,-89.25
North West,Endocrinology,1.4,75000,1.92,48.38,-89.25
North West,Gastroenterology,1.8,75000,2.38,48.38,-89.25
North West,General Internal Medicine,4.5,75000,6.03,48.38,-89.25
North West,General Surgery,3.7,75000,4.9,48.38,-89.25
North West,General Thoracic Surgery,2.7,75000,3.62,48.38,-89.25
North West,Genetics Medicine,0.3,75000,0.37,48.38,-89.25
North West,Geriatric Medicine,0.7,75000,0.94,48.38,-89.25
North West,Hematology and Medical Oncology,2.3,75000,3.07,48.38,-89.25
North West,Hospital Medicine,1.9,75000,2.56,48.38,-89.25
North West,Infectious Diseases,0.9,75000,1.18,48.38,-89.25
North West,Laboratory Medicine,3.0,75000,4.01,48.38,-89.25
North West,Long-term Care,0.5,75000,0.64,48.38,-89.25
North West,Nephrology,1.3,75000,1.79,48.38,-89.25
North West,Neurology,2.3,75000,3.04,48.38,-89.25
North West,Neuroradiology,0.4,75000,0.58,48.38,-89.25
North West,Neurosurgery,0.4,75000,0.56,48.38,-89.25
North West,Nuclear Medicine,0.3,75000,0.42,48.38,-89.25
North West,Obstetrics and Gynecology,4.1,75000,5.46,48.38,-89.25
North West,Occupational and Environmental Medicine,0.4,75000,0.5,48.38,-89.25
North West,Ophthalmology,2.2,75000,2.92,48.38,-89.25
North West,Orthopedic Surgery,3.3,75000,4.38,48.38,-89.25
North West,Otolaryngology,1.4,75000,1.9,48.38,-89.25
North West,Palliative Medicine,1.3,75000,1.73,48.38,-89.25
North West,Pediatrics,7.2,75000,9.54,48.38,-89.25
North West,Physical Medicine and Rehabilitation,1.2,75000,1.57,48.38,-89.25
North West,Plastic Surgery,1.2,75000,1.57,48.38,-89.25
North West,Primary Care Mental Health,1.0,75000,1.36,48.38,-89.25
North West,Psychiatry,10.7,75000,14.22,48.38,-89.25
North West,Public Health Physicians,0.7,75000,0.9,48.38,-89.25
North West,Radiation Oncology,1.1,75000,1.44,48.38,-89.25
North West,Reproductive Biology,0.3,75000,0.42,48.38,-89.25
North West,Respiratory Disease (Respirology),1.5,75000,2.06,48.38,-89.25
North West,Rheumatology,1.2,75000,1.64,48.38,-89.25
North West,Sport and Exercise Medicine,0.8,75000,1.12,48.38,-89.25
North West,Urology,1.4,75000,1.82,48.38,-89.25
North West,Vascular Surgery,0.5,75000,0.65,48.38,-89.25
