Therapeutic abortion,17,*,23,478,2691,3627,1305,337,7842,2414,0,18734
Other obstetrical services,2590,249,176,491,177585,244277,4843,1364,78849,2434,*,512858
Total obstetrical services,3634,724,3135,6401,247897,418357,26110,5590,159282,45593,65,916788
ICU/resuscitation,1695,0,9,*,11,228,*,0,39,25,0,2007
Allergy/hyposensitization,0,0,0,0,6,12,0,0,0,*,*,18
Injection/aspiration of joint,0,0,24,28,144,83,0,0,0,*,8,287
Electrocardiogram,0,0,0,0,0,*,0,0,0,0,*,0
Esophagoscopy/gastroscopy,0,0,0,0,0,13071,0,0,0,0,0,13071
Laryngoscopy/bronchoscopy,0,0,0,0,*,*,0,0,0,0,0,*
Colonoscopy,0,0,0,0,*,14,0,0,0,0,0,14
Cystoscopy,1323,7,78,43,2352,12216,1594,1449,4719,1143,0,24924
Sigmoidoscopy,0,0,0,0,27,71,*,0,189,*,0,287
Other endoscopy,13170,32,2821,2316,63374,98031,12381,5727,20088,7854,0,225794
Coronary angiography only,0,0,0,0,*,0,0,0,0,0,0,*
Procedures associated with imaging,971,*,87,234,795,5742,2743,300,12114,1145,0,24131
Dilatation and curettage,2340,19,1259,1065,3690,2980,741,599,8822,5607,0,27122
Electroencephalography,0,0,0,0,0,0,0,0,0,0,0,0
Cryotherapy,0,0,0,7,0,651,*,0,13,0,0,671
Cardiac catheterization,0,0,0,0,*,0,0,0,0,*,0,*
Biopsy,3544,13,2590,2386,55468,5583,4400,4022,23031,31136,*,132173
Other diagnostic/therapeutic services,2269,18,1993,15949,213037,581328,11051,8599,47517,38016,32,919809
Total diagnostic/therapeutic services,25312,89,8861,22028,338904,720010,32910,20696,116532,84926,40,1370308
Injections and immunizations,*,0,341,378,0,20451,6558,220,1703,614,*,30264
Papanicolaou smear,911,8,24,4036,0,21074,13263,10141,33239,0,0,82696
Insertion of intrauterine device,1978,*,740,2091,0,41842,3871,2138,10659,11517,23,74859
Total special services,2889,8,1105,6505,0,83367,23692,12499,45601,12131,23,187819
Other identified,0,63,64,106,12682,50644,15475,7378,24032,49835,219,160498
Other unidentified,0,0,0,0,0,0,0,0,0,0,0,0
Total miscellaneous services,0,63,64,106,12682,50644,15475,7378,24032,49835,219,160498
Total procedures,35359,1249,16053,39352,645427,1376480,110992,52101,388815,240842,404,2907074
Total services,111736,2830,52715,122767,1775197,4531338,352351,179974,1008715,785181,2335,8925140
Total specialists,N.L.,P.E.I.,N.S.,N.B.,Que.,Ont.,Man.,Sask.,Alta.,B.C.,Y.T.,Total
Major consultations,197372,29154,233855,316710,4265004,8069730,521211,439624,1695030,3358692,1988,19128371
Other consultations,238,521,31812,6641,559048,735184,17075,18993,767809,354006,1357,2492684
Total consultations,197610,29675,265667,323352,4824052,8804913,538286,458618,2462839,3712699,3345,21621055
Office,52934,14253,67802,25861,3063955,0,607287,35904,208694,195149,617,4272455
Hospital inpatient: Newborn,26,0,*,215,19754,17029,0,0,10242,75,30,47371
Hospital inpatient: Other,1759,131,0,1329,756870,1218963,19668,3450,46013,13256,12,2061451
Hospital outpatient,57224,190,6801,669,3697170,16264,17239,4635,163,8796,0,3809152
Hospital unspecified,1528,246,995,0,51507,622,1625,0,56307,10943,*,123773
Unspecified,46,*,0,4106,16577,8229616,21,818,30558,4856,*,8286599
Special eye,0,*,24051,0,6464,930290,24495,68,20835,40924,0,1047128
Total major assessments,113517,14820,99649,32181,7612297,10412784,670335,44875,372812,274000,658,19647929
Office,95818,19869,299964,300871,1300983,57172,630051,438407,2275567,2563426,2925,7985054
Hospital inpatient,4766,0,0,*,1110390,808698,194960,15861,15607,277998,90,2428370
Hospital outpatient,115070,7320,3693,103262,1420762,31230,18268,91487,158000,8381,6,1957479
Hospital unspecified,0,0,2944,0,39556,0,21413,3124,370799,341767,635,780238
Unspecified location,58637,1017,26,32087,51936,8144677,0,4795,69708,13969,5,8376856
Special calls — Add,0,0,5337,1203,0,2447448,0,25587,0,0,0,2479575
Detention,11,5729,0,10406,57844,3341,4242,2314,40527,3002,68,127484
Total other assessments,274302,33935,311964,447828,3981472,11492565,868934,581575,2930208,3208543,3729,24135056
Up to 28/30/31 or 35/42 days,81390,1743,2894,24219,21944,2225126,336020,199724,1018693,24617,0,3936370
More than 28/30/31 or 35/42,13530,42,215,5834,0,374476,0,30693,0,0,0,424790
Other,7177,2294,36743,18596,1347098,419424,289912,38758,430,184695,433,2345560
Total hospital care days,102097,4079,39852,48649,1369042,3019026,625932,269175,1019123,209312,433,6706720
Out-of-hours/emergency,0,4488,471,2887,445415,637543,23850,38814,60441,314939,779,1529627
Other regular hours,*,0,598,1714,2836,373049,0,149,4838,5280,41,388505
Total special calls,*,4488,1069,4601,448251,1010592,23850,38963,65279,320219,820,1918132
Individual psychotherapy,29767,22538,38249,63246,372354,3332454,216190,105079,953962,1229317,85,6363242
Group/family psychotherapy,12971,167,4117,952,93060,653136,12275,2526,368364,70073,29,1217670
Counselling,196,2641,89,10958,1169686,1030893,70798,10028,1205995,162827,163,3664273
Total psychotherapy/counselling,42933,25346,42455,75157,1635101,5016483,299262,117633,2528320,1462217,278,11245185
Total consultations and visits,730460,112343,760656,931767,19870216,39756364,3026600,1510839,9378581,9186990,9262,85274077
Mastectomy and breast surgery,730,89,473,966,5109,26987,1423,1078,6209,9418,6,52488
Breast tumour excision/biopsy,341,127,347,665,12046,1215,752,275,5147,1275,16,22206
Other integumentary system,25882,210,8284,5169,121651,171013,14449,16309,165409,74880,54,603310
Fractures,1587,1063,2491,4832,35415,79467,8833,5310,21207,18339,135,178679
Disc surgery,406,*,0,718,5376,11853,2128,5340,8276,4112,0,38209
Arthroplasty — Hip,1010,320,1550,1718,10257,24913,2762,2684,5021,10734,45,61014
